latitude,longitude,wind_speed_10m
53.25,349.0,8.92556
53.25,349.25,8.949774
53.25,349.5,8.746624
53.25,349.75,8.363422
53.25,350.0,7.5928354
53.25,350.25,6.6148577
53.25,350.5,5.5113277
53.25,350.75,4.7997437
53.25,351.0,4.256522
53.25,351.25,4.0964746
53.25,351.5,3.9823506
53.25,351.75,3.98944
53.25,352.0,3.973449
53.25,352.25,3.9073746
53.25,352.5,3.9102054
53.25,352.75,3.972947
53.25,353.0,3.938397
53.25,353.25,3.8999236
53.25,353.5,4.0403247
53.25,353.75,4.482822
53.25,354.0,5.940897
53.25,354.25,7.0728536
53.25,354.5,7.6481085
53.0,349.0,8.7980795
53.0,349.25,8.690801
53.0,349.5,8.597072
53.0,349.75,8.613575
53.0,350.0,8.783639
53.0,350.25,7.983096
53.0,350.5,6.770376
53.0,350.75,5.5043855
53.0,351.0,4.379604
53.0,351.25,4.0891385
53.0,351.5,3.8790596
53.0,351.75,3.9590147
53.0,352.0,3.961402
53.0,352.25,3.8424435
53.0,352.5,3.8280034
53.0,352.75,3.8994749
53.0,353.0,3.9116058
53.0,353.25,3.9429998
53.0,353.5,3.9576855
53.0,353.75,4.329902
53.0,354.0,5.785311
53.0,354.25,6.939783
53.0,354.5,7.547546
52.75,349.0,8.784948
52.75,349.25,8.710956
52.75,349.5,8.6763315
52.75,349.75,8.677519
52.75,350.0,7.8888116
52.75,350.25,6.737127
52.75,350.5,5.389859
52.75,350.75,4.484875
52.75,351.0,4.0418878
52.75,351.25,3.936638
52.75,351.5,3.8124647
52.75,351.75,3.8269856
52.75,352.0,3.8721771
52.75,352.25,3.9656174
52.75,352.5,3.9240286
52.75,352.75,3.8141065
52.75,353.0,3.7109995
52.75,353.25,3.6748657
52.75,353.5,3.9301274
52.75,353.75,4.601059
52.75,354.0,6.186629
52.75,354.25,7.365831
52.75,354.5,7.601376
52.5,349.0,8.667653
52.5,349.25,8.663255
52.5,349.5,8.429368
52.5,349.75,7.6479573
52.5,350.0,6.528725
52.5,350.25,5.110511
52.5,350.5,4.3275447
52.5,350.75,3.8614864
52.5,351.0,3.8805337
52.5,351.25,3.8409684
52.5,351.5,3.8021538
52.5,351.75,3.7340198
52.5,352.0,3.5792618
52.5,352.25,3.6290085
52.5,352.5,3.6111155
52.5,352.75,3.7730618
52.5,353.0,3.8371403
52.5,353.25,4.1252356
52.5,353.5,4.67306
52.5,353.75,5.7403145
52.5,354.0,7.030396
52.5,354.25,7.8154893
52.5,354.5,7.7973223
52.25,349.0,8.742718
52.25,349.25,8.4227
52.25,349.5,6.989597
52.25,349.75,5.7952943
52.25,350.0,4.513782
52.25,350.25,3.8900492
52.25,350.5,4.174318
52.25,350.75,3.872857
52.25,351.0,3.8693278
52.25,351.25,3.8074
52.25,351.5,3.76494
52.25,351.75,3.6139581
52.25,352.0,3.6197672
52.25,352.25,3.881183
52.25,352.5,3.9790192
52.25,352.75,4.669349
52.25,353.0,5.5748096
52.25,353.25,6.072251
52.25,353.5,6.8958874
52.25,353.75,7.2538824
52.25,354.0,7.3153305
52.25,354.25,8.014483
52.25,354.5,7.870911
52.0,349.0,8.798813
52.0,349.25,8.387544
52.0,349.5,7.232042
52.0,349.75,5.3830743
52.0,350.0,4.159132
52.0,350.25,3.5454192
52.0,350.5,3.701664
52.0,350.75,3.8923397
52.0,351.0,3.862214
52.0,351.25,3.918238
52.0,351.5,3.9950938
52.0,351.75,4.1588583
52.0,352.0,4.74215
52.0,352.25,5.145823
52.0,352.5,5.8867884
52.0,352.75,6.9217715
52.0,353.0,7.383528
52.0,353.25,7.73513
52.0,353.5,7.668474
52.0,353.75,7.9345546
52.0,354.0,8.003139
52.0,354.25,7.987637
52.0,354.5,7.6952662
51.75,349.0,8.758248
51.75,349.25,8.685893
51.75,349.5,7.9545937
51.75,349.75,6.542905
51.75,350.0,5.417951
51.75,350.25,4.3653584
51.75,350.5,4.0698633
51.75,350.75,4.1843705
51.75,351.0,4.8208637
51.75,351.25,4.9619684
51.75,351.5,5.318355
51.75,351.75,5.7685437
51.75,352.0,6.594046
51.75,352.25,7.4109263
51.75,352.5,7.769195
51.75,352.75,7.7812195
51.75,353.0,8.033941
51.75,353.25,8.092964
51.75,353.5,8.089905
51.75,353.75,8.036655
51.75,354.0,8.104404
51.75,354.25,8.1007185
51.75,354.5,7.776229
51.5,349.0,8.672796
51.5,349.25,8.579333
51.5,349.5,8.506891
51.5,349.75,8.270441
51.5,350.0,7.4718804
51.5,350.25,6.061875
51.5,350.5,5.481501
51.5,350.75,5.4535484
51.5,351.0,6.175131
51.5,351.25,7.025309
51.5,351.5,7.2802944
51.5,351.75,7.754793
51.5,352.0,8.178445
51.5,352.25,8.168321
51.5,352.5,8.272886
51.5,352.75,8.076103
51.5,353.0,8.057979
51.5,353.25,8.208073
51.5,353.5,8.216691
51.5,353.75,8.142105
51.5,354.0,8.161932
51.5,354.25,8.161824
51.5,354.5,8.059068
